COT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2013-1-1,34,29,23,26,24,23,100,73,46,1010,1008,1005,14,9,0,0,0,,0.00,2,Fog,-1
2013-1-2,33,28,23,26,24,22,100,71,46,1009,1007,1005,14,10,3,19,2,,0.00,3,Fog,300
2013-1-3,34,29,23,25,24,23,100,73,49,1010,1008,1006,14,9,2,0,0,,0.00,2,,-1
2013-1-4,35,29,23,25,24,23,100,72,49,1012,1009,1006,14,9,0,11,0,,0.00,3,Fog,330
2013-1-5,36,30,24,26,23,22,100,69,40,1011,1008,1006,14,9,0,151,6,,0.00,3,Fog,330
2013-1-6,36,29,23,26,23,21,100,73,44,1010,1007,1005,14,7,0,0,0,,0.00,3,Fog,-1
2013-1-7,36,29,23,25,23,21,100,71,34,1009,1006,1004,14,9,0,13,0,,0.00,1,Fog,310
2013-1-8,36,29,23,25,23,22,100,67,36,1008,1005,1003,14,9,0,14,2,,0.00,2,Fog,75
2013-1-9,36,29,22,26,24,23,100,71,38,1009,1007,1004,14,8,0,16,0,,0.00,3,Fog,310
2013-1-10,37,30,23,25,22,20,100,65,33,1010,1007,1004,14,7,0,216,6,,0.00,2,Fog,-1
2013-1-11,36,29,24,24,23,22,100,72,43,1007,1007,1007,14,8,3,0,0,,0.00,6,,-1
2013-1-12,34,28,22,24,23,22,99,68,40,,,,14,11,2,11,2,,0.00,,,-1
2013-1-13,32,27,22,24,23,22,96,66,46,,,,16,13,6,11,3,,0.00,,,-1
2013-1-14,34,23,22,23,22,22,97,68,39,,,,14,10,6,0,0,,0.00,,,-1
2013-1-15,34,28,22,24,22,20,99,65,35,,,,14,11,2,21,3,,0.00,,Fog,-1
2013-1-16,34,32,27,24,23,21,80,57,39,,,,14,13,11,14,3,,0.00,,,-1
2013-1-17,33,32,27,23,23,23,72,62,53,,,,14,13,11,11,6,,0.00,,,-1
2013-1-18,32,28,23,23,23,23,97,65,49,,,,14,12,8,11,5,,0.00,,,-1
2013-1-19,34,28,23,24,23,23,94,68,49,,,,10,8,5,18,5,,0.00,,,-1
2013-1-20,34,28,23,25,24,23,100,73,46,1011,1009,1006,14,10,6,19,3,,0.00,4,,321
2013-1-21,35,29,23,24,23,23,100,72,47,1010,1008,1006,14,10,6,11,2,,0.00,2,,344
2013-1-22,34,28,22,25,23,22,100,72,48,1011,1009,1007,14,10,7,19,2,,0.00,3,,292
2013-1-23,33,29,24,24,24,23,94,69,50,1012,1010,1008,14,11,8,21,6,,0.00,4,,294
2013-1-24,32,28,23,25,24,23,100,76,54,1013,1011,1009,14,10,8,19,5,,0.00,4,,296
2013-1-25,33,28,23,24,23,23,100,73,49,1013,1010,1008,11,10,7,19,5,,0.00,4,,292
2013-1-26,35,29,24,24,23,23,94,72,48,1012,1010,1007,14,9,5,19,3,,0.00,3,,297
2013-1-27,35,29,24,24,23,22,100,73,45,1012,1010,1008,14,10,6,16,3,,0.00,3,,300
2013-1-28,36,30,24,25,24,23,94,69,40,1012,1010,1007,14,10,6,11,2,,0.00,3,,320
2013-1-29,35,31,26,25,24,23,89,69,47,1011,1009,1006,14,10,8,19,2,,0.00,4,,307
2013-1-30,33,28,23,25,24,23,100,73,50,1010,1008,1006,14,10,6,11,2,,0.00,3,,340
2013-1-31,34,29,23,25,24,23,94,71,48,1010,1008,1005,14,11,6,19,5,,0.00,4,,295
2013-2-1,34,29,24,24,23,22,94,63,41,1010,1008,1006,14,10,7,19,2,,0.00,4,,280
2013-2-2,33,28,24,25,24,23,100,75,55,1011,1009,1007,14,10,8,11,2,,0.00,6,,300
2013-2-3,33,28,23,25,24,23,100,88,66,1011,1009,1007,11,9,1,11,2,,0.00,5,Rain-Thunderstorm,335
2013-2-4,32,28,24,26,24,23,94,76,58,1011,1008,1006,18,11,9,11,2,,0.00,4,,310
2013-2-5,33,28,23,25,24,23,100,77,53,1011,1009,1006,18,11,6,11,3,,6.10,4,,322
2013-2-6,33,28,22,25,24,23,100,75,53,1012,1009,1007,14,10,6,19,3,,0.00,6,,284
2013-2-7,32,27,23,24,23,23,100,77,55,1011,1009,1007,14,10,8,19,5,,0.00,5,,293
2013-2-8,33,28,23,25,24,23,100,76,51,1011,1009,1007,14,10,6,14,2,,0.00,4,,330
2013-2-9,34,29,23,24,23,23,100,71,48,1011,1009,1007,14,11,8,19,3,,0.00,4,,297
2013-2-10,33,27,22,23,23,22,100,71,48,1012,1010,1008,14,11,9,19,3,,0.00,4,,294
2013-2-11,35,29,22,24,24,23,100,69,44,1012,1010,1007,14,10,6,11,2,,0.00,3,,323
2013-2-12,36,29,23,25,23,21,100,70,38,1011,1009,1006,14,10,5,16,2,,0.00,2,Fog,298
2013-2-13,35,29,24,24,23,23,94,70,46,1011,1009,1006,14,10,7,11,2,,0.00,3,,323
2013-2-14,34,29,23,25,23,22,100,70,43,1012,1009,1007,14,11,7,11,2,,0.00,2,Fog,315
2013-2-15,35,29,22,24,23,20,100,70,39,1012,1009,1006,14,10,6,21,5,,0.00,4,,311
2013-2-16,34,29,24,24,23,23,94,67,50,1009,1007,1006,14,11,8,11,3,,0.00,2,,314
2013-2-17,37,28,23,24,24,23,100,69,47,1012,1009,1007,14,11,8,19,5,,0.00,4,,327
2013-2-18,34,28,23,24,24,23,100,72,53,1012,1009,1005,14,10,8,19,3,,0.00,5,,335
2013-2-19,36,30,25,24,23,22,94,67,40,1010,1007,1004,14,10,8,19,2,,0.00,3,,330
2013-2-20,36,30,23,24,24,23,97,72,36,1009,1008,1005,14,10,5,11,0,,0.00,3,,-1
2013-2-21,36,29,23,24,24,24,91,66,47,,,,14,11,6,14,3,,0.00,,,-1
2013-2-22,35,29,23,24,23,23,92,66,41,1006,1006,1006,14,11,6,21,6,,0.00,3,,300
2013-2-23,34,29,24,25,24,23,100,77,49,1009,1008,1006,14,10,8,19,3,,0.00,3,,295
2013-2-24,34,28,23,25,24,23,100,73,49,1010,1007,1005,14,10,6,19,5,,0.00,5,,286
